CLUES,CLAVE DE LA INSTITUCION,NOMBRE DE LA INSTITUCION,CLAVE DE LA ENTIDAD,ENTIDAD,CLAVE DEL MUNICIPIO,MUNICIPIO,CLAVE DE LA LOCALIDAD,LOCALIDAD,CLAVE DE LA JURISDICCION,JURISDICCION,CLAVE DEL TIPO ESTABLECIMIENTO,NOMBRE TIPO ESTABLECIMIENTO,CLAVE DE TIPOLOGIA,NOMBRE DE TIPOLOGIA,CLAVE DE SUBTIPOLOGIA,NOMBRE DE SUBTIPOLOGIA,NOMBRE DE LA UNIDAD,NOMBRE COMERCIAL,CLAVE TIPO DE VIALIDAD,TIPO DE VIALIDAD,VIALIDAD,NUMERO EXTERIOR,NUMERO INTERIOR,CLAVE TIPO DE ASENTAMIENTO,TIPO DE ASENTAMIENTO,ASENTAMIENTO,CODIGO POSTAL,OBSERVACIONES DE LA DIRECCION,CLAVE ESTATUS DE OPERACION,ESTATUS DE OPERACION,RFC DEL ESTABLECIMIENTO,TELEFONO 1 DEL ESTABLECIMIENTO,EXTENSION TELEFONICA 1 DEL ESTABLECIMIENTO,TELEFONO 2 DEL ESTABLECIMIENTO,EXTENSION TELEFONICA 2 DEL ESTABLECIMIENTO,FECHA DE CONSTRUCCION,FECHA DE INICIO DE OPERACION,CLAVE UNIDAD MOVIL MARCA,UNIDAD MOVIL MARCA,UNIDAD MOVIL MARCA ESPECIFICA,UNIDAD MOVIL MODELO,CLAVE UNIDAD MOVIL PROGRAMA,UNIDAD MOVIL PROGRAMA,CLAVE UNIDAD MOVIL TIPO,UNIDAD MOVIL TIPO,CLAVE UNIDAD MOVIL TIPOLOGIA,UNIDAD MOVIL TIPOLOGIA,CLAVE DE LA INS ADM,NOMBRE DE LA INS ADM,CLAVE NIVEL ATENCION,NIVEL ATENCION,CLAVE ESTRATO UNIDAD,ESTRATO UNIDAD,CLAVE TIPO OBRA,TIPO OBRA,CLAVE PROPIEDAD DEL INMUEBLE,PROPIEDAD DEL INMUEBLE,LATITUD,LONGITUD,CLAVE ULTIMO MOVIMIENTO,ULTIMO MOVIMIENTO,FECHA ULTIMO MOVIMIENTO,COMENTARIOS DE LA VALIDACION,CLAVE MOTIVO BAJA,MOTIVO BAJA,FECHA EFECTIVA DE BAJA
CSSMP000893,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,65,PALENQUE,1,PALENQUE,6,PALENQUE,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS UNION,FARMACIAS UNION,5.0,CALLE,HIDALGO,SIN NUMERO  ,,7.0,COLONIA,CENTRO,29960.0,,1,EN OPERACION,XAXX111111,9933580130.0,,,,,01/09/2011,,,,,,,,,,,OTRA,OTRA,1,PRIMER NIVEL,2,URBANO,,,,,17.5096033,-91.9835422,B,MODIFICACION,29/03/2016,,,,
CSSMP000920,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,59,OCOSINGO,836,CANDELARIA,9,OCOSINGO,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,ORIENTE SUR,SIN NUMERO  ,,3.0,BARRIO,CANDELARIA,29950.0,,1,EN OPERACION,XAXX111111,9371111213.0,,,,,01/09/2007,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,1,RURAL,,,,,16.9093688,-92.0904066,B,MODIFICACION,08/07/2016,,,,
CSSMP000935,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,48,JUAREZ,1,JUAREZ,5,PICHUCALCO,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,MANUEL DE MIER Y TERAN,SIN NUMERO  ,,42.0,NINGUNO,JUAREZ,29510.0,,1,EN OPERACION,XAXX111111,,,,,,13/10/2004,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,17.6056105,-93.1951581,B,MODIFICACION,08/07/2016,,,,
CSSMP000944,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,65,PALENQUE,954,ESTACION SAN AGUSTIN (LA PLACA 2DA. SECCION),6,PALENQUE,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,3.0,AVENIDA,DOCTOR MANUEL VELASCO SUAREZ,SIN NUMERO  ,,7.0,COLONIA,LA ESPERANZA,29960.0,,1,EN OPERACION,XAXX111111,,,,,,10/10/2011,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,1,RURAL,,,,,17.5116293,-91.9871744,B,MODIFICACION,08/07/2016,,,,
CSSMP000953,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,109,YAJALON,1,YAJALON,6,PALENQUE,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,3.0,AVENIDA,1RA NORTE PONIENTE,SIN NUMERO  ,,7.0,COLONIA,YAJALON,29930.0,,1,EN OPERACION,XAXX111111,9196741938.0,,,,,31/08/2011,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,17.17482,-92.33471,B,MODIFICACION,08/07/2016,,,,
CSSMP000962,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,59,OCOSINGO,836,CANDELARIA,9,OCOSINGO,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,2DA SUR OTE.,SIN NUMERO  ,,3.0,BARRIO,CANDELARIA,29950.0,,1,EN OPERACION,XAXX111111,9611569232.0,,,,,11/05/2001,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,1,RURAL,,,,,16.9081145,-92.0929998,B,MODIFICACION,08/07/2016,,,,
CSSMP000971,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,37,HUEHUETAN,1,HUEHUETAN,7,TAPACHULA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,7.0,CALZADA,JUÁREZ,SIN NUMERO  ,,16.0,FRACCIONAMIENTO,HUEHUETAN,30670.0,,1,EN OPERACION,XAXX111111,9646232747.0,,,,,01/09/2011,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,15.0111,-92.40388,B,MODIFICACION,08/07/2016,,,,
CSSMP000980,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,89,TAPACHULA,1025,LOS CAFETALES,7,TAPACHULA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,SANTA OFELIA,SIN NUMERO  ,,16.0,FRACCIONAMIENTO,LOS CAFETALES,30820.0,,1,EN OPERACION,XAXX111111,9621314823.0,,,,,15/02/2009,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,14.86985,-92.30379,B,MODIFICACION,08/07/2016,,,,
CSSMP000995,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,57,MOTOZINTLA,13,BELISARIO DOMINGUEZ,10,MOTOZINTLA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,24.0,CARRETERA,INTERNACIONAL MOTOZINTLA-HUIXTLA,SIN NUMERO  ,,7.0,COLONIA,BELISARIO DOMINGUEZ,30910.0,,1,EN OPERACION,XAXX111111,,,,,,03/11/2014,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,15.30098,-92.38316,B,MODIFICACION,08/07/2016,,,,
CSSMP001004,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,80,SILTEPEC,1,SILTEPEC,10,MOTOZINTLA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,FRANCISCO SARABIA,SIN NUMERO  ,,25.0,PUEBLO,SILTEPEC,30980.0,,1,EN OPERACION,XAXX111111,9631318757.0,,,,,10/11/2013,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,15.55761,-92.3221,B,MODIFICACION,08/07/2016,,,,
CSSMP001013,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,34,FRONTERA COMALAPA,1,FRONTERA COMALAPA,3,COMITÁN,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,2A. NORTE ORIENTE,SIN NUMERO  ,,25.0,PUEBLO,FRONTERA COMALAPA,30140.0,,1,EN OPERACION,XAXX111111,9631133782.0,,,,,10/11/2011,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,15.66127,-92.13978,B,MODIFICACION,08/07/2016,,,,
CSSMP001022,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,102,TUXTLA CHICO,1,TUXTLA CHICO,7,TAPACHULA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,CENTRAL HIDALGO,SIN NUMERO  ,,7.0,COLONIA,TUXTLA CHICO,30870.0,,1,EN OPERACION,XAXX111111,,,,,,06/01/2014,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,14.939968,-92.167852,B,MODIFICACION,08/07/2016,,,,
CSSMP001031,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,32,ESCUINTLA,1,ESCUINTLA,7,TAPACHULA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,3.0,AVENIDA,ALVARO OBREGON,SIN NUMERO  ,,3.0,BARRIO,ESCUINTLA,30600.0,,1,EN OPERACION,XAXX111111,9611777516.0,,,,,10/11/2011,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,15.322158,-92.656197,B,MODIFICACION,08/07/2016,,,,
CSSMP001040,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,54,MAZATAN,1,MAZATAN,7,TAPACHULA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,3.0,AVENIDA,HIDALGO,SIN NUMERO  ,,25.0,PUEBLO,MAZATAN,30650.0,,1,EN OPERACION,XAXX111111,9621700536.0,,,,,15/12/2010,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,14.864528,-92.449056,B,MODIFICACION,08/07/2016,,,,
CSSMP001055,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,34,FRONTERA COMALAPA,1,FRONTERA COMALAPA,3,COMITÁN,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,2DA CALLE SUR ORIENTE,SIN NUMERO  ,,25.0,PUEBLO,FRONTERA COMALAPA,30140.0,,1,EN OPERACION,XAXX111111,9631204398.0,,,,,10/11/2011,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,15.65835,-92.14124,B,MODIFICACION,08/07/2016,,,,
CSSMP001064,SMP,SERVICIOS MEDICOS PRIVADOS,7,CHIAPAS,78,SAN CRISTOBAL DE LAS CASAS,85,SANTA LUCIA,2,SAN CRISTÓBAL DE LAS CASAS,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,3.0,AVENIDA,INSURGENTES,SIN NUMERO  ,,3.0,BARRIO,SANTA LUCIA,29250.0,,1,EN OPERACION,XAXX111111,9676747957.0,,,,,15/02/2013,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,1,RURAL,,,,,16.73059,-92.6371,B,MODIFICACION,08/07/2016,,,,
