CLUES,CLAVE DE LA INSTITUCION,NOMBRE DE LA INSTITUCION,CLAVE DE LA ENTIDAD,ENTIDAD,CLAVE DEL MUNICIPIO,MUNICIPIO,CLAVE DE LA LOCALIDAD,LOCALIDAD,CLAVE DE LA JURISDICCION,JURISDICCION,CLAVE DEL TIPO ESTABLECIMIENTO,NOMBRE TIPO ESTABLECIMIENTO,CLAVE DE TIPOLOGIA,NOMBRE DE TIPOLOGIA,CLAVE DE SUBTIPOLOGIA,NOMBRE DE SUBTIPOLOGIA,NOMBRE DE LA UNIDAD,NOMBRE COMERCIAL,CLAVE TIPO DE VIALIDAD,TIPO DE VIALIDAD,VIALIDAD,NUMERO EXTERIOR,NUMERO INTERIOR,CLAVE TIPO DE ASENTAMIENTO,TIPO DE ASENTAMIENTO,ASENTAMIENTO,CODIGO POSTAL,OBSERVACIONES DE LA DIRECCION,CLAVE ESTATUS DE OPERACION,ESTATUS DE OPERACION,RFC DEL ESTABLECIMIENTO,TELEFONO 1 DEL ESTABLECIMIENTO,EXTENSION TELEFONICA 1 DEL ESTABLECIMIENTO,TELEFONO 2 DEL ESTABLECIMIENTO,EXTENSION TELEFONICA 2 DEL ESTABLECIMIENTO,FECHA DE CONSTRUCCION,FECHA DE INICIO DE OPERACION,CLAVE UNIDAD MOVIL MARCA,UNIDAD MOVIL MARCA,UNIDAD MOVIL MARCA ESPECIFICA,UNIDAD MOVIL MODELO,CLAVE UNIDAD MOVIL PROGRAMA,UNIDAD MOVIL PROGRAMA,CLAVE UNIDAD MOVIL TIPO,UNIDAD MOVIL TIPO,CLAVE UNIDAD MOVIL TIPOLOGIA,UNIDAD MOVIL TIPOLOGIA,CLAVE DE LA INS ADM,NOMBRE DE LA INS ADM,CLAVE NIVEL ATENCION,NIVEL ATENCION,CLAVE ESTRATO UNIDAD,ESTRATO UNIDAD,CLAVE TIPO OBRA,TIPO OBRA,CLAVE PROPIEDAD DEL INMUEBLE,PROPIEDAD DEL INMUEBLE,LATITUD,LONGITUD,CLAVE ULTIMO MOVIMIENTO,ULTIMO MOVIMIENTO,FECHA ULTIMO MOVIMIENTO,COMENTARIOS DE LA VALIDACION,CLAVE MOTIVO BAJA,MOTIVO BAJA,FECHA EFECTIVA DE BAJA
CSIMB000011,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,1,ACACOYAGUA,131,LAS BRISAS,7,TAPACHULA,1,DE CONSULTA EXTERNA,C,RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS,99,NO ESPECIFICADO,LAS BRISAS,LAS BRISAS,5.0,CALLE,CENTRAL CHIAPAS PONIENTE,SIN NUMERO  ,,3.0,BARRIO,15 DE ENERO,30590.0,"A DOS CUADRAS DE LA ESC. PRIM. ""VICENTE GUERRERO",1,EN OPERACION,ISA961203QN5,,,,,01/09/1961,05/09/1962,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,1,RURAL,6.0,SIN MODIFICACION,1.0,PROPIO,15.341651,-92.680193,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
CSIMB000023,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,2,ACALA,1,ACALA,1,TUXTLA GUTIERREZ,2,DE HOSPITALIZACIÓN,N,HOSPITAL INTEGRAL (COMUNITARIO),99,NO ESPECIFICADO,H. B. C. MANUEL VELASCO SUAREZ ACALA,H. B. C. MANUEL VELASCO SUAREZ ACALA,3.0,AVENIDA,MORELOS,SIN NUMERO  ,,7.0,COLONIA,CRUZ MISION,29374.0,"AV. MORELOS S/N, ACALA",1,EN OPERACION,ISA961203QN5,9616535362,,,,12/12/1999,12/12/2001,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,2,SEGUNDO NIVEL,2,URBANO,6.0,SIN MODIFICACION,1.0,PROPIO,16.556405,-92.815191,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
CSIMB000035,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,2,ACALA,1,ACALA,1,TUXTLA GUTIERREZ,1,DE CONSULTA EXTERNA,H,URBANO DE 05 NÚCLEOS BÁSICOS,99,NO ESPECIFICADO,VILLA DE ACALA,VILLA DE ACALA,5.0,CALLE,MARIANO NANGO,10  ,,3.0,BARRIO,CANDELARIA,29372.0,"AV. MARIANO NANGO NO. 10, BARRIO CANDELARIA",1,EN OPERACION,ISA961203QN5,9656535276,,,,,01/12/1982,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,2,URBANO,6.0,SIN MODIFICACION,5.0,OTRO,16.5592,-92.805065,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
CSIMB000040,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,3,ACAPETAHUA,1,ACAPETAHUA,7,TAPACHULA,1,DE CONSULTA EXTERNA,F,URBANO DE 03 NÚCLEOS BÁSICOS,99,NO ESPECIFICADO,CENTRO DE SALUD ACAPETAHUA,CENTRO DE SALUD ACAPETAHUA,3.0,AVENIDA,1A SUR PONIENTE,SIN NUMERO  ,,25.0,PUEBLO,ACAPETAHUA,30580.0,A UNA CUADRA DEL MERCADO,1,EN OPERACION,ISA961203QN5,9186470652,,,,,01/06/1973,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,2,URBANO,6.0,SIN MODIFICACION,5.0,OTRO,15.280536,-92.690452,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
CSIMB000052,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,3,ACAPETAHUA,6,BARRA ZACAPULCO,7,TAPACHULA,1,DE CONSULTA EXTERNA,A,RURAL DE 01 NÚCLEO BÁSICO,99,NO ESPECIFICADO,BARRA DE ZACAPULCO,BARRA DE ZACAPULCO,5.0,CALLE,PRINCIPAL,SIN NUMERO  ,,27.0,RANCHERÍA,BARRA ZACAPULCO,30586.0,A LADO DE LA AGENCIA COMUNITARIA,1,EN OPERACION,ISA961203QN5,,,,,,01/02/1987,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,1,RURAL,6.0,SIN MODIFICACION,5.0,OTRO,15.19506,-92.884743,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
CSIMB000064,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,3,ACAPETAHUA,61,LAS MURALLAS,7,TAPACHULA,1,DE CONSULTA EXTERNA,A,RURAL DE 01 NÚCLEO BÁSICO,99,NO ESPECIFICADO,EJIDO LAS MURALLAS,EJIDO LAS MURALLAS,23.0,CAMINO,SIN NOMBRE,SIN NUMERO  ,,13.0,EJIDO,LAS MURALLAS,30587.0,A UN COSTADO DEL DOMO,1,EN OPERACION,ISA961203QN5,,,,,,01/01/2000,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,1,RURAL,6.0,SIN MODIFICACION,5.0,OTRO,15.267016,-92.847315,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
CSIMB000076,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,4,ALTAMIRANO,32,LA LAGUNA,9,OCOSINGO,1,DE CONSULTA EXTERNA,A,RURAL DE 01 NÚCLEO BÁSICO,99,NO ESPECIFICADO,BIENES COMUNALES LA LAGUNA,BIENES COMUNALES LA LAGUNA,23.0,CAMINO,SIN NOMBRE,SIN NUMERO  ,,,,,30194.0,A UN COSTADO DEL JARDÍN DE NIÑOS,1,EN OPERACION,ISA961203QN5,,,,,,15/03/1999,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,1,RURAL,6.0,SIN MODIFICACION,1.0,PROPIO,16.691625,-91.949688,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
CSIMB000081,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,5,AMATAN,41,GUADALUPE VICTORIA,5,PICHUCALCO,1,DE CONSULTA EXTERNA,A,RURAL DE 01 NÚCLEO BÁSICO,99,NO ESPECIFICADO,CENTRO DE SALUD GUADALUPE VICTORIA,CENTRO DE SALUD GUADALUPE VICTORIA,5.0,CALLE,ADOLFO LOPEZ MATEOS,SIN NUMERO  ,,13.0,EJIDO,GUADALUPE VICTORIA,29704.0,FRENTE A LA CASA EJIDAL,1,EN OPERACION,ISA961203QN5,9321067414,,,,,,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,1,RURAL,6.0,SIN MODIFICACION,5.0,OTRO,17.36899,-92.87236,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
CSIMB000093,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,5,AMATAN,47,EL LIMON,5,PICHUCALCO,1,DE CONSULTA EXTERNA,P,UNIDAD MÓVIL,99,NO ESPECIFICADO,UNIDAD MEDICA MOVIL EL LIMON,UNIDAD MEDICA MOVIL EL LIMON,24.0,CARRETERA,SIN NOMBRE,SIN NUMERO  ,,13.0,EJIDO,EL LIMON,29703.0,CASA EJIDAL DE LA COMUNIDAD,1,EN OPERACION,ISA961203QN5,9617086286,,,,,,99.0,OTRO,NE,9999.0,OTRA,OTRA,OTRA,UMM OTRA,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,1,RURAL,6.0,SIN MODIFICACION,1.0,PROPIO,17.3087,-92.819002,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
CSIMB000105,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,5,AMATAN,75,REFORMA Y PLANADA,5,PICHUCALCO,1,DE CONSULTA EXTERNA,A,RURAL DE 01 NÚCLEO BÁSICO,99,NO ESPECIFICADO,CENTRO DE SALUD REFORMA Y PLANADA,CENTRO DE SALUD REFORMA Y PLANADA,3.0,AVENIDA,GUADALUPE,SIN NUMERO  ,,13.0,EJIDO,REFORMA Y PLANADA,29700.0,CERCA DE LA ESCUELA PRIMARIA LAS 3 GARANTIAS,1,EN OPERACION,ISA961203QN5,9611757993,,,,,,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,1,RURAL,6.0,SIN MODIFICACION,5.0,OTRO,17.386312,-92.865177,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
